course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,students_enrolled_parsed
Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner,14000
Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8700
Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150000
Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6500
International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22000
International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25000
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22000
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed,36000
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,19000
International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,41000
International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26000
International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20000
International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2200
International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35000
International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11000
Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,36000
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,38000
Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,66000
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140000
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,100000
Introduction aux Droits de l’Homme,University of Geneva,COURSE,4.8,Mixed,46000
Introduction to Ableton Live,Berklee College of Music,COURSE,4.8,Mixed,60000
Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,44000
Introduction to Big Data,University of California San Diego,COURSE,4.6,Mixed,160000
Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16000
Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed,27000
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14000
Introduction to CSS3,University of Michigan,COURSE,4.8,Mixed,84000
Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53000
Introduction to Chemistry: Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46000
Introduction to Classical Music,Yale University,COURSE,4.9,Mixed,150000
Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner,2600
Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,20000
Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32000
Introduction to Corporate Finance,University of Pennsylvania,COURSE,4.6,Mixed,130000
Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,27000
Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,32000
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,30000
Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Mixed,99000
Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,310000
Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate,390000
Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25000
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,75000
Introduction to Electronics,Georgia Institute of Technology,COURSE,4.7,Mixed,110000
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate,41000
Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,Mixed,150000
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,34000
Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Mixed,200000
Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,47000
Introduction to Game Development,Michigan State University,COURSE,4.8,Mixed,79000
Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Mixed,74000
Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed,42000
Introduction to HTML5,University of Michigan,COURSE,4.7,Mixed,220000
Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner,54000
Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner,6000
Introduction to International Criminal Law,Case Western Reserve University,COURSE,4.8,Mixed,82000
Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Mixed,220000
Introduction to Mathematical Thinking,Stanford University,COURSE,4.8,Intermediate,270000
Introduction to Operations Management,University of Pennsylvania,COURSE,4.5,Mixed,87000
Introduction to Personal Branding,University of Virginia,COURSE,4.4,Beginner,140000
Introduction to Philosophy,The University of Edinburgh,COURSE,4.6,Mixed,370000
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Mixed,11000
Introduction to Probability and Data,Duke University,COURSE,4.7,Beginner,160000
Introduction to Programming in C,Duke University,SPECIALIZATION,4.7,Beginner,82000
Introduction to Programming with MATLAB,Vanderbilt University,COURSE,4.8,Beginner,270000
Introduction to Psychology,Yale University,COURSE,4.9,Beginner,270000
Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner,49000
Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,Advanced,39000
Introduction to Spreadsheets and Models,University of Pennsylvania,COURSE,4.2,Mixed,76000
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner,12000
Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,69000
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Mixed,67000
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,33000
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,COURSE,4.7,Intermediate,150000
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,4100
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4.0,Intermediate,13000
Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner,72000
Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner,87000
Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,16000
Introduction to Web Development,"University of California, Davis",COURSE,4.7,Beginner,76000
Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner,110000
Introductory Human Physiology,Duke University,COURSE,4.7,Mixed,270000
Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4500
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner,120000
Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner,99000
Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14000
Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,49000
Japanese for beginners 1,Saint Petersburg State University,COURSE,4.6,Beginner,4400
Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner,380000
Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner,160000
Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,22000
Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,37000
L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8000
"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner,6300
Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,17000
Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed,34000
Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.8,Beginner,16000
Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner,220000
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,5900
Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate,16000
Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,43000
Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner,22000
Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,78000
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52000
Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,120000
Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39000
Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,160000
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner,80000
Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner,180000
Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner,120000
Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68000
Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7200
Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10000
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23000
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed,29000
Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner,14000
Machine Learning,University of Washington,SPECIALIZATION,4.6,Intermediate,290000
Machine Learning,Stanford University,COURSE,4.9,Mixed,3200000
Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,Mixed,240000
Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate,29000
Machine Learning for All,University of London,COURSE,4.6,Beginner,19000
Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate,58000
Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate,15000
Machine Learning with Python,IBM,COURSE,4.7,Intermediate,120000
Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate,72000
Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,Beginner,78000
Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner,43000
Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.7,Mixed,120000
Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner,11000
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,55000
Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner,23000
Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Mixed,71000
Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner,27000
Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner,47000
Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner,22000
Marketing Digital,Universidade de São Paulo,COURSE,4.8,Beginner,81000
Marketing Digital,Universidad Austral,SPECIALIZATION,4.7,Beginner,39000
Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate,49000
Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.6,Beginner,93000
Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner,57000
Marketing Verde,Universidad de los Andes,COURSE,4.8,Mixed,58000
Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,60000
Marketing in a Digital World,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,310000
Mastering Data Analysis in Excel,Duke University,COURSE,4.2,Mixed,280000
Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner,8400
Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,52000
Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Mixed,48000
Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,12000
Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner,150000
Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.7,Beginner,140000
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner,51000
Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4.0,Intermediate,33000
Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,4800
Medical Neuroscience,Duke University,COURSE,4.9,Advanced,170000
Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.3,Beginner,13000
Methods and Statistics in Social Sciences,University of Amsterdam,SPECIALIZATION,4.6,Beginner,260000
Microeconomics Principles,University of Illinois at Urbana-Champaign,COURSE,4.9,Beginner,73000
Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,Mixed,34000
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,COURSE,4.8,Beginner,230000
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,COURSE,4.7,Beginner,120000
Model Thinking,University of Michigan,COURSE,4.8,Mixed,130000
Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,Mixed,36000
Modern Art & Ideas,The Museum of Modern Art,COURSE,4.7,Beginner,310000
Modern Big Data Analysis with SQL,Cloudera,SPECIALIZATION,4.8,Beginner,14000
"Modern Robotics: Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,Intermediate,21000
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,COURSE,4.7,Intermediate,9100
Moral Foundations of Politics,Yale University,COURSE,4.8,Mixed,100000
More Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.9,Mixed,40000
Mountains 101,University of Alberta,COURSE,4.9,Mixed,44000
Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,59000
Music Business,Berklee College of Music,SPECIALIZATION,4.8,Beginner,42000
Music Business Foundations,Berklee College of Music,COURSE,4.9,Mixed,34000
Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,70000
Nanotechnology: A Maker’s Course,Duke University,COURSE,4.8,Mixed,21000
Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,Intermediate,40000
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,COURSE,4.8,Mixed,95000
"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner,22000
Networking and Security Architecture with VMware NSX,VMware,COURSE,4.8,Intermediate,17000
Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate,290000
Neural Networks and Deep Learning,deeplearning.ai,COURSE,4.9,Intermediate,630000
Neurolinguistics,Saint Petersburg State University,COURSE,4.7,Mixed,41000
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",COURSE,4.7,Beginner,12000
Newborn Baby Care,University of Colorado System,SPECIALIZATION,4.8,Beginner,5300
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,100000
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,35000
Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.7,Intermediate,250000
Object Oriented Programming in Java,Duke University,SPECIALIZATION,4.6,Beginner,330000
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,21000
Object-Oriented Design,University of Alberta,COURSE,4.7,Intermediate,33000
Oil & Gas Industry Operations and Markets,Duke University,COURSE,4.8,Mixed,57000
"Open Source Software Development, Linux and Git",The Linux Foundation,SPECIALIZATION,4.4,Beginner,13000
Operating Systems and You: Becoming a Power User,Google,COURSE,4.6,Beginner,76000
Operations Analytics,University of Pennsylvania,COURSE,4.7,Mixed,80000
Optical Engineering,University of Colorado Boulder,SPECIALIZATION,4.2,Advanced,6200
Organizational Leadership,Northwestern University,SPECIALIZATION,4.7,Intermediate,92000
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,COURSE,4.7,Beginner,22000
Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,SPECIALIZATION,4.8,Beginner,3200
Palo Alto Networks Cybersecurity,Palo Alto Networks,SPECIALIZATION,4.6,Beginner,9100
"Parallel, Concurrent, and Distributed Programming in Java",Rice University,SPECIALIZATION,4.5,Intermediate,30000
Particle Physics: an Introduction,University of Geneva,COURSE,4.5,Mixed,42000
Patient Safety,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,8800
Patrocinio Deportivo,Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,12000
People Analytics,University of Pennsylvania,COURSE,4.5,Mixed,84000
Perfect Tenses and Modals,"University of California, Irvine",COURSE,4.7,Intermediate,79000
Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,COURSE,4.9,Beginner,8900
Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,SPECIALIZATION,4.7,Beginner,160000
Plant Bioinformatic Methods,University of Toronto,SPECIALIZATION,4.7,Beginner,83000
Politics and Economics of International Energy,Sciences Po,COURSE,4.7,Beginner,34000
Positive Psychiatry and Mental Health,The University of Sydney,COURSE,4.8,Mixed,72000
Positive Psychology,The University of North Carolina at Chapel Hill,COURSE,4.7,Mixed,180000
Positive Psychology: Applications and Interventions,University of Pennsylvania,COURSE,4.8,Beginner,23000
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,COURSE,4.8,Beginner,50000
Positive Psychology: Resilience Skills,University of Pennsylvania,COURSE,4.6,Beginner,40000
Power Electronics,University of Colorado Boulder,SPECIALIZATION,4.8,Intermediate,67000
Practical Data Science with MATLAB,MathWorks,SPECIALIZATION,4.7,Beginner,10000
Practical Time Series Analysis,The State University of New York,COURSE,4.6,Intermediate,39000
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,COURSE,4.7,Beginner,22000
Preparing to Manage Human Resources,University of Minnesota,COURSE,4.8,Mixed,68000
"Presentation Skills: Speechwriting, Slides and Delivery",E-Learning Development Fund,SPECIALIZATION,4.6,Beginner,47000
Pricing Strategy Optimization,BCG,SPECIALIZATION,4.8,Beginner,20000
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,COURSE,4.8,Mixed,280000
Private Equity and Venture Capital,Università Bocconi,COURSE,4.8,Mixed,79000
Probabilistic Graphical Models 1: Representation,Stanford University,COURSE,4.7,Advanced,68000
Probability and Statistics: To p or not to p?,University of London,COURSE,4.6,Beginner,36000
Process Mining: Data science in Action,Eindhoven University of Technology,COURSE,4.8,Intermediate,39000
"Programming Foundations with JavaScript, HTML and CSS",Duke University,COURSE,4.6,Beginner,250000
Programming Fundamentals,Duke University,COURSE,4.7,Beginner,19000
Programming for Everybody (Getting Started with Python),University of Michigan,COURSE,4.8,Mixed,1300000
Programming with Google Go,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate,18000
Project Execution,"University of California, Irvine",COURSE,4.2,Beginner,70000
Project Launch,"University of California, Irvine",COURSE,4.7,Beginner,190000
Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,440000
Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,230000
Psychological First Aid,Johns Hopkins University,COURSE,4.8,Mixed,190000
Public Policy Challenges of the 21st Century,University of Virginia,COURSE,4.6,Beginner,52000
Python Basics,University of Michigan,COURSE,4.8,Beginner,110000
Python Classes and Inheritance,University of Michigan,COURSE,4.7,Intermediate,21000
Python Data Structures,University of Michigan,COURSE,4.9,Mixed,420000
"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner,26000
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate,41000
Python for Data Science and AI,IBM,COURSE,4.6,Beginner,170000
Python for Everybody,University of Michigan,SPECIALIZATION,4.8,Beginner,1500000
Quantitative Methods,University of Amsterdam,COURSE,4.7,Mixed,69000
Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,COURSE,4.9,Beginner,3000
R Programming,Johns Hopkins University,COURSE,4.6,Intermediate,480000
"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,COURSE,4.8,Beginner,7700
Recommender Systems,University of Minnesota,SPECIALIZATION,4.3,Intermediate,29000
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,COURSE,4.7,Mixed,35000
Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,Intermediate,23000
Renewable Energy and Green Building Entrepreneurship,Duke University,COURSE,4.7,Beginner,24000
Reporting extra-financier et stratégie RSE,ESSEC Business School,COURSE,4.7,Beginner,5200
Requirements Engineering: Secure Software Specifications,University of Colorado System,SPECIALIZATION,4.6,Beginner,7200
Research Data Management and Sharing,The University of Edinburgh,COURSE,4.6,Mixed,16000
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,COURSE,4.8,Mixed,15000
Responsive Website Development and Design,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner,170000
Rethinking International Tax Law,Universiteit Leiden,COURSE,4.9,Mixed,36000
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,COURSE,4.9,Intermediate,17000
Robotics,University of Pennsylvania,SPECIALIZATION,4.4,Beginner,120000
Roman Architecture,Yale University,COURSE,4.9,Beginner,30000
Russian Alphabet,Saint Petersburg State University,COURSE,4.7,Beginner,3200
Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,SPECIALIZATION,4.7,Beginner,7000
Réussir le Changement,ESSEC Business School,COURSE,4.5,Mixed,33000
SAS Programmer,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner,370000
SAS Visual Business Analytics,SAS,PROFESSIONAL CERTIFICATE,4.6,Beginner,2600
SQL for Data Science,"University of California, Davis",COURSE,4.6,Beginner,160000
Sales Operations/Management,West Virginia University,SPECIALIZATION,4.4,Beginner,5600
Sales Training for High Performing Teams,HubSpot Academy,SPECIALIZATION,4.7,Beginner,16000
Sample-based Learning Methods,University of Alberta,COURSE,4.8,Intermediate,6800
Scaling Operations: Linking Strategy and Execution,Northwestern University,COURSE,4.5,Mixed,12000
School Health for Children and Adolescents,University of Colorado System,SPECIALIZATION,4.8,Beginner,9100
Science of Exercise,University of Colorado Boulder,COURSE,4.8,Beginner,140000
Search Engine Optimization Fundamentals,"University of California, Davis",COURSE,4.7,Mixed,47000
Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,6400
Security & Safety Challenges in a Globalized World,Universiteit Leiden,COURSE,4.7,Beginner,14000
Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300000
Self-Driving Cars,University of Toronto,SPECIALIZATION,4.7,Advanced,39000
Sequence Models,deeplearning.ai,COURSE,4.8,Intermediate,14000
Sexualidad...mucho más que sexo,Universidad de los Andes,COURSE,4.8,Beginner,110000
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,COURSE,4.7,Beginner,61000
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,COURSE,4.5,Advanced,16000
Six Sigma Green Belt,University System of Georgia,SPECIALIZATION,4.7,Intermediate,18000
Six Sigma and the Organization (Advanced),University System of Georgia,COURSE,4.7,Intermediate,15000
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,COURSE,4.8,Beginner,20000
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,COURSE,4.6,Beginner,22000
Social Entrepreneurship,Copenhagen Business School,SPECIALIZATION,4.6,Beginner,13000
Social Media Marketing,Northwestern University,SPECIALIZATION,4.6,Beginner,130000
"Social Norms, Social Change I",University of Pennsylvania,COURSE,4.6,Beginner,78000
Social Policy for Social Services & Health Practitioners,Columbia University,SPECIALIZATION,4.8,Beginner,4200
Social Psychology,Wesleyan University,COURSE,4.7,Beginner,220000
Social and Economic Networks: Models and Analysis,Stanford University,COURSE,4.8,Advanced,42000
Software Design and Architecture,University of Alberta,SPECIALIZATION,4.6,Beginner,60000
Software Development Lifecycle,University of Minnesota,SPECIALIZATION,4.6,Intermediate,34000
Software Processes and Agile Practices,University of Alberta,COURSE,4.7,Mixed,60000
Software Product Management,University of Alberta,SPECIALIZATION,4.6,Beginner,110000
Solar Energy Basics,The State University of New York,COURSE,4.8,Beginner,17000
Songwriting: Writing the Lyrics,Berklee College of Music,COURSE,4.8,Beginner,68000
Soporte de Tecnologías de la Información de Google,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,8800
Spacecraft Dynamics and Control,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced,12000
Spanish Vocabulary: Meeting People,"University of California, Davis",COURSE,4.6,Beginner,71000
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,COURSE,4.6,Mixed,430000
Sports Marketing,Northwestern University,COURSE,4.7,Intermediate,12000
Sports and Society,Duke University,COURSE,4.8,Mixed,16000
Stanford Introduction to Food and Health,Stanford University,COURSE,4.7,Beginner,370000
Stanford's Short Course on Breastfeeding,Stanford University,COURSE,4.7,Beginner,17000
Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,16000
Statistics with Python,University of Michigan,SPECIALIZATION,4.6,Beginner,34000
Statistics with R,Duke University,SPECIALIZATION,4.7,Beginner,220000
Stories of Infection,Stanford University,COURSE,4.9,Intermediate,28000
Strategic Business Analytics,ESSEC Business School,SPECIALIZATION,4.3,Advanced,60000
Strategic Business Management - Microeconomics,"University of California, Irvine",COURSE,4.7,Beginner,9500
Strategic Leadership and Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,100000
Strategic Management,Copenhagen Business School,COURSE,4.7,Mixed,58000
Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.7,Beginner,68000
Strategic Sales Management,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate,9200
Strategising: Management for Global Competitive Advantage,Macquarie University,SPECIALIZATION,4.8,Intermediate,30000
Strategy and Sustainability,IESE Business School,COURSE,4.6,Beginner,11000
Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,Beginner,220000
Success,University of Pennsylvania,COURSE,4.8,Beginner,38000
Successful Negotiation: Essential Strategies and Skills,University of Michigan,COURSE,4.8,Mixed,750000
Summary Statistics in Public Health,Johns Hopkins University,COURSE,4.8,Beginner,11000
Supply Chain Analytics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,7900
Supply Chain Finance and Blockchain Technology,New York Institute of Finance,SPECIALIZATION,4.6,Intermediate,4900
Supply Chain Logistics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,66000
Supply Chain Management,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner,82000
Supply Chain Operations,Rutgers the State University of New Jersey,COURSE,4.8,Beginner,24000
Supply Chain Principles,Georgia Institute of Technology,COURSE,4.6,Mixed,29000
Supporting children with difficulties in reading and writing,UCL Institute of Education,COURSE,4.8,Mixed,50000
Survey Data Collection and Analytics,"University of Maryland, College Park",SPECIALIZATION,4.3,Beginner,45000
Sustainable Tourism – promoting environmental public health,University of Copenhagen,COURSE,4.6,Beginner,9400
Swift 5 iOS Application Developer,LearnQuest,SPECIALIZATION,4.5,Beginner,3900
System Administration and IT Infrastructure Services,Google,COURSE,4.7,Beginner,62000
